,Gene,Tissue,CHR,geneBP,nSignifSNPs,h2score
40,ENSG00000137642,Artery_Aorta,chr11,121452203,9,63.941677210573204
41,ENSG00000137642,Muscle_Skeletal,chr11,121452203,1,23.6871545130526
42,ENSG00000179526,Cells_Cultured_fibroblasts,chr8,144108058,14,1104.02487093614
43,ENSG00000179526,Esophagus_Mucosa,chr8,144108058,9,810.157531436004
44,ENSG00000179526,Whole_Blood,chr8,144108058,8,706.300697315473
45,ENSG00000179526,Testis,chr8,144108058,11,680.858526529655
46,ENSG00000179526,Heart_Left_Ventricle,chr8,144108058,4,44.29842860407229
47,ENSG00000071051,Skin_Not_Sun_Exposed_Suprapubic,chr2,105744897,63,4220.9008251421
48,ENSG00000071051,Skin_Sun_Exposed_Lower_leg,chr2,105744897,58,3680.9023481240997
49,ENSG00000071051,Esophagus_Mucosa,chr2,105744897,57,2600.75532042642
50,ENSG00000071051,Muscle_Skeletal,chr2,105744897,30,988.0942585588319
51,ENSG00000071051,Esophagus_Muscularis,chr2,105744897,33,339.868008748172
52,ENSG00000159640,Lung,chr17,63477061,46,8620.25550148461
53,ENSG00000159640,Cells_Cultured_fibroblasts,chr17,63477061,42,5467.104759092879
54,ENSG00000159640,Muscle_Skeletal,chr17,63477061,51,2394.13100788472
55,ENSG00000159640,Spleen,chr17,63477061,32,2220.34584471854
56,ENSG00000159640,Nerve_Tibial,chr17,63477061,53,1266.57590748151
57,ENSG00000110079,Adipose_Subcutaneous,chr11,60280541,55,2444.8336621595604
58,ENSG00000110079,Nerve_Tibial,chr11,60280541,15,767.040241443938
59,ENSG00000110079,Thyroid,chr11,60280541,30,704.061095186575
60,ENSG00000110079,Whole_Blood,chr11,60280541,44,691.934505474441
61,ENSG00000110079,Artery_Tibial,chr11,60280541,35,386.68053571595595
62,ENSG00000142233,Thyroid,chr19,48673081,60,8118.176199786059
63,ENSG00000142233,Skin_Sun_Exposed_Lower_leg,chr19,48673081,55,7798.20381180303
64,ENSG00000142233,Skin_Not_Sun_Exposed_Suprapubic,chr19,48673081,40,5033.17089298122
65,ENSG00000142233,Brain_Cortex,chr19,48673081,33,3250.4293045923
66,ENSG00000142233,Esophagus_Mucosa,chr19,48673081,44,2337.46195803415
67,ENSG00000120885,Artery_Aorta,chr8,27615031,91,45830.317681390596
68,ENSG00000120885,Thyroid,chr8,27615031,47,2587.85201596864
69,ENSG00000120885,Artery_Tibial,chr8,27615031,63,2015.50549632387
70,ENSG00000120885,Muscle_Skeletal,chr8,27615031,56,1091.71320032482
71,ENSG00000120885,Artery_Coronary,chr8,27615031,21,509.533256470654
72,ENSG00000109684,Brain_Cerebellum,chr4,10684865,13,615.093697863001
73,ENSG00000109684,Brain_Cerebellar_Hemisphere,chr4,10684865,11,265.529271152723
74,ENSG00000109684,Cells_EBV-transformed_lymphocytes,chr4,10684865,16,38.5929205066761
75,ENSG00000109684,Lung,chr4,10684865,2,16.295141837404
76,ENSG00000108091,Cells_Cultured_fibroblasts,chr10,59906656,104,134829.168369506
77,ENSG00000108091,Esophagus_Mucosa,chr10,59906656,76,8284.18598795624
78,ENSG00000108091,Whole_Blood,chr10,59906656,74,5088.97455119225
79,ENSG00000108091,Artery_Tibial,chr10,59906656,88,4821.11647342998
80,ENSG00000108091,Spleen,chr10,59906656,27,1454.53016032449
81,ENSG00000131042,Whole_Blood,chr19,54281184,19,232.216056937253
82,ENSG00000131042,Cells_EBV-transformed_lymphocytes,chr19,54281184,15,225.421949602726
83,ENSG00000131042,Nerve_Tibial,chr19,54281184,5,138.95758141471
84,ENSG00000131042,Skin_Not_Sun_Exposed_Suprapubic,chr19,54281184,4,115.199431311842
85,ENSG00000131042,Adipose_Subcutaneous,chr19,54281184,5,114.852873509224
86,ENSG00000130203,Lung,chr19,44905754,16,2949.71143263011
87,ENSG00000130203,Prostate,chr19,44905754,17,2136.75686205836
88,ENSG00000130203,Skin_Sun_Exposed_Lower_leg,chr19,44905754,10,477.11918650245104
89,ENSG00000130203,Skin_Not_Sun_Exposed_Suprapubic,chr19,44905754,8,365.10607063175104
90,ENSG00000130203,Testis,chr19,44905754,2,31.7362470840245
91,ENSG00000135077,Testis,chr5,157109714,31,136.999192106757
92,ENSG00000135077,Whole_Blood,chr5,157109714,15,63.5484133129217
93,ENSG00000135077,Artery_Aorta,chr5,157109714,16,51.4309036967835
94,ENSG00000135077,Esophagus_Mucosa,chr5,157109714,9,38.903132279800296
95,ENSG00000135077,Nerve_Tibial,chr5,157109714,2,25.556095027107396
96,ENSG00000073712,Nerve_Tibial,chr14,52952435,37,578.879534523562
97,ENSG00000073712,Muscle_Skeletal,chr14,52952435,23,330.485007778105
98,ENSG00000073712,Whole_Blood,chr14,52952435,17,321.25611022640703
99,ENSG00000073712,Thyroid,chr14,52952435,33,306.669386523434
100,ENSG00000073712,Esophagus_Muscularis,chr14,52952435,3,32.314291911440705
101,ENSG00000145901,Cells_Cultured_fibroblasts,chr5,151093577,16,217.389973142607
102,ENSG00000145901,Whole_Blood,chr5,151093577,12,138.930802038251
103,ENSG00000145901,Brain_Cerebellar_Hemisphere,chr5,151093577,11,108.266869510692
104,ENSG00000145901,Brain_Cerebellum,chr5,151093577,16,103.566109937897
105,ENSG00000145901,Thyroid,chr5,151093577,4,91.2728736521551
106,ENSG00000105383,Adipose_Subcutaneous,chr19,51225064,15,179.521113240825
107,ENSG00000105383,Artery_Tibial,chr19,51225064,25,163.796358901784
108,ENSG00000105383,Whole_Blood,chr19,51225064,12,163.393147259005
109,ENSG00000105383,Nerve_Tibial,chr19,51225064,18,109.76716515374599
110,ENSG00000105383,Adipose_Visceral_Omentum,chr19,51225064,9,72.3609808085383
111,ENSG00000196126,Lung,chr6,32589848,583,22960605.369447302
112,ENSG00000196126,Skin_Sun_Exposed_Lower_leg,chr6,32589848,615,22430198.529113397
113,ENSG00000196126,Thyroid,chr6,32589848,513,16832088.1698993
114,ENSG00000196126,Adipose_Subcutaneous,chr6,32589848,591,16754493.0507474
115,ENSG00000196126,Heart_Atrial_Appendage,chr6,32589848,470,16154412.038080499
116,ENSG00000229153,Whole_Blood,chr7,143407813,66,6700.88367440192
117,ENSG00000229153,Adipose_Subcutaneous,chr7,143407813,28,1501.3341456944
118,ENSG00000229153,Nerve_Tibial,chr7,143407813,14,1121.5585677257302
119,ENSG00000229153,Spleen,chr7,143407813,25,612.334812281139
120,ENSG00000229153,Adipose_Visceral_Omentum,chr7,143407813,20,474.150990708645
121,ENSG00000106460,Esophagus_Mucosa,chr7,12211241,86,20681.7728236299
122,ENSG00000106460,Whole_Blood,chr7,12211241,72,9726.61316104175
123,ENSG00000106460,Heart_Left_Ventricle,chr7,12211241,46,1607.00296136358
124,ENSG00000106460,Skin_Sun_Exposed_Lower_leg,chr7,12211241,37,1510.7591240993802
125,ENSG00000106460,Heart_Atrial_Appendage,chr7,12211241,51,1023.9757526765401
126,ENSG00000198087,Muscle_Skeletal,chr6,47477789,53,1893.0261033735
127,ENSG00000198087,Esophagus_Mucosa,chr6,47477789,49,1549.6211212574099
128,ENSG00000198087,Pituitary,chr6,47477789,40,1000.9924264860199
129,ENSG00000198087,Brain_Cerebellar_Hemisphere,chr6,47477789,17,450.11301871940003
130,ENSG00000198087,Cells_Cultured_fibroblasts,chr6,47477789,35,392.36394250478696
131,ENSG00000188157,Adipose_Visceral_Omentum,chr1,1020123,27,1085.49215290436
132,ENSG00000188157,Esophagus_Muscularis,chr1,1020123,21,810.962434090994
133,ENSG00000188157,Esophagus_Gastroesophageal_Junction,chr1,1020123,17,599.944261961917
134,ENSG00000188157,Thyroid,chr1,1020123,14,346.84332135091597
135,ENSG00000188157,Colon_Sigmoid,chr1,1020123,11,279.766025156946
136,ENSG00000265148,Esophagus_Gastroesophageal_Junction,chr17,58325450,38,5444.251317802489
137,ENSG00000265148,Pituitary,chr17,58325450,24,4354.22605098332
138,ENSG00000265148,Esophagus_Muscularis,chr17,58325450,24,3915.01491493414
139,ENSG00000265148,Whole_Blood,chr17,58325450,53,2954.7152112832696
140,ENSG00000265148,Lung,chr17,58325450,21,2332.56559975913
141,ENSG00000073921,Skin_Not_Sun_Exposed_Suprapubic,chr11,86069882,78,4830.11591413055
142,ENSG00000073921,Skin_Sun_Exposed_Lower_leg,chr11,86069882,81,4649.83750494438
143,ENSG00000073921,Nerve_Tibial,chr11,86069882,36,1883.16765828242
144,ENSG00000073921,Esophagus_Muscularis,chr11,86069882,37,1540.0972486478602
145,ENSG00000073921,Adipose_Subcutaneous,chr11,86069882,34,1364.07323882763
146,ENSG00000030582,Artery_Tibial,chr17,44345086,45,986.674565749239
147,ENSG00000030582,Nerve_Tibial,chr17,44345086,26,681.989258971857
148,ENSG00000030582,Thyroid,chr17,44345086,38,541.79556990759
149,ENSG00000030582,Esophagus_Mucosa,chr17,44345086,6,329.129756526242
150,ENSG00000030582,Whole_Blood,chr17,44345086,26,216.868843181073
151,ENSG00000136717,Whole_Blood,chr2,127107355,48,4922.04708286757
152,ENSG00000136717,Thyroid,chr2,127107355,35,1475.56947050832
153,ENSG00000136717,Pancreas,chr2,127107355,16,1297.7981217668198
154,ENSG00000136717,Artery_Aorta,chr2,127107355,32,1233.4525565804902
155,ENSG00000136717,Esophagus_Mucosa,chr2,127107355,34,1094.41283609817
156,ENSG00000203710,Esophagus_Muscularis,chr1,207496147,10,210.18353474787799
157,ENSG00000203710,Brain_Caudate_basal_ganglia,chr1,207496147,19,167.957962855585
158,ENSG00000203710,Brain_Cortex,chr1,207496147,10,130.371349270021
159,ENSG00000203710,Brain_Hippocampus,chr1,207496147,10,118.140951268137
160,ENSG00000203710,Adipose_Subcutaneous,chr1,207496147,9,115.14072737043101
